"","player","ou","position","Salary","TeamAbbrev","value"
"3","Josh Allen",313,"QB",8200,"BUF",38.1707317073171
"4","Kenny Pickett",221,"QB",5100,"PIT",43.3333333333333
"5","Marcus Mariota",231,"QB",5400,"ATL",42.7777777777778
"6","Tom Brady",286,"QB",6000,"TB",47.6666666666667
"7","Justin Fields",201,"QB",5300,"CHI",37.9245283018868
"8","Kirk Cousins",251,"QB",6300,"MIN",39.8412698412698
"9","Jacoby Brissett",226,"QB",5600,"CLE",40.3571428571429
"10","Justin Herbert",273.5,"QB",7100,"LAC",38.5211267605634
"11","Bailey Zappe",219.5,"QB",5100,"NE",43.0392156862745
"12","Jared Goff",243,"QB",6100,"DET",39.8360655737705
"13","Teddy Bridgewater",252,"QB",5400,"MIA",46.6666666666667
"14","Zach Wilson",228,"QB",5300,"NYJ",43.0188679245283
"15","Carson Wentz",244,"QB",5700,"WAS",42.8070175438597
"16","Ryan Tannehill",227,"QB",5800,"TEN",39.1379310344828
"17","Davis Mills",238,"QB",5000,"HOU",47.6
"18","Trevor Lawrence",257,"QB",5600,"JAX",45.8928571428571
"19","Andy Dalton",245,"QB",5200,"NO",47.1153846153846
"20","Geno Smith",250,"QB",5500,"SEA",45.4545454545455
"21","Baker Mayfield",203,"QB",5100,"CAR",39.8039215686275
"22","Jimmy Garoppolo",221,"QB",5400,"SF",40.9259259259259
"23","Jalen Hurts",293,"QB",8100,"PHI",36.1728395061728
"24","Kyler Murray",274,"QB",7400,"ARI",37.027027027027
"25","Cooper Rush",238,"QB",5400,"DAL",44.0740740740741
"26","Matthew Stafford",264,"QB",6400,"LAR",41.25
