"","player","ou","position","Salary","TeamAbbrev","value"
"13","Chase Claypool",32.5,"WR",4400,"PIT",7.38636363636364
"14","Devin Singletary",17.5,"RB",6100,"BUF",2.86885245901639
"15","Diontae Johnson",50.5,"WR",6100,"PIT",8.27868852459016
"16","Gabriel Davis",50.5,"WR",6400,"BUF",7.890625
"17","George Pickens",40.5,"WR",4300,"PIT",9.41860465116279
"18","Isaiah McKenzie",32.5,"WR",5000,"BUF",6.5
"19","Najee Harris",14.5,"RB",6500,"PIT",2.23076923076923
"20","Pat Freiermuth",38.5,"TE",4100,"PIT",9.39024390243902
"21","Quintin Morris",19.5,"TE",2600,"BUF",7.5
"22","Stefon Diggs",79.5,"WR",8400,"BUF",9.46428571428571
"23","Anthony Firkser",18.5,"TE",2500,"ATL",7.4
"24","Cade Otton",22.5,"TE",2500,"TB",9
"25","Chris Godwin",60.5,"WR",5900,"TB",10.2542372881356
"26","Drake London",59.5,"WR",5900,"ATL",10.0847457627119
"27","Leonard Fournette",24.5,"RB",6900,"TB",3.55072463768116
"28","Mike Evans",62.5,"WR",6900,"TB",9.05797101449275
"29","Olamide Zaccheaus",28.5,"WR",4000,"ATL",7.125
"30","Parker Hesse",12.5,"TE",2500,"ATL",5
"31","Rachaad White",12.5,"RB",5100,"TB",2.45098039215686
"32","Tyler Allgeier",10.5,"RB",4700,"ATL",2.23404255319149
"33","Adam Thielen",53.5,"WR",6300,"MIN",8.49206349206349
"34","Dalvin Cook",13.5,"RB",7300,"MIN",1.84931506849315
"35","Dante Pettis",11.5,"WR",3400,"CHI",3.38235294117647
"36","Darnell Mooney",49.5,"WR",5000,"CHI",9.9
"37","Equanimeous St. Brown",22.5,"WR",3900,"CHI",5.76923076923077
"38","Irv Smith Jr.",25.5,"TE",3200,"MIN",7.96875
"39","Johnny Mundt",9.5,"TE",2500,"MIN",3.8
"40","Justin Jefferson",83.5,"WR",8900,"MIN",9.38202247191011
"41","K.J. Osborn",24.5,"WR",4200,"MIN",5.83333333333333
"42","Amari Cooper",51.5,"WR",6000,"CLE",8.58333333333333
"43","Austin Ekeler",38.5,"RB",7800,"LAC",4.93589743589744
"44","David Bell",9.5,"WR",3300,"CLE",2.87878787878788
"45","David Njoku",37.5,"TE",3800,"CLE",9.86842105263158
"46","Donovan Peoples-Jones",33.5,"WR",4100,"CLE",8.17073170731707
"47","Gerald Everett",40.5,"TE",4200,"LAC",9.64285714285714
"48","Harrison Bryant",15.5,"TE",2900,"CLE",5.3448275862069
"49","Kareem Hunt",15.5,"RB",6000,"CLE",2.58333333333333
"50","Mike Williams",66.5,"WR",7100,"LAC",9.36619718309859
"51","Nick Chubb",7.5,"RB",8000,"CLE",0.9375
"52","Damien Harris",9.5,"RB",5600,"NE",1.69642857142857
"53","DeVante Parker",36.5,"WR",4700,"NE",7.76595744680851
"54","Hunter Henry",23.5,"TE",2900,"NE",8.10344827586207
"55","Jakobi Meyers",43.5,"WR",4800,"NE",9.0625
"56","Jamaal Williams",10.5,"RB",6500,"DET",1.61538461538462
"57","Nelson Agholor",29.5,"WR",4000,"NE",7.375
"58","Rhamondre Stevenson",16.5,"RB",5500,"NE",3
"59","Breece Hall",16.5,"RB",5400,"NYJ",3.05555555555556
"60","Chase Edmonds",13.5,"RB",5200,"MIA",2.59615384615385
"61","Corey Davis",38.5,"WR",5100,"NYJ",7.54901960784314
"62","Durham Smythe",11.5,"TE",2500,"MIA",4.6
"63","Elijah Moore",42.5,"WR",5000,"NYJ",8.5
"64","Garrett Wilson",43.5,"WR",5200,"NYJ",8.36538461538461
"65","Michael Carter",11.5,"RB",4900,"NYJ",2.3469387755102
"66","Mike Gesicki",20.5,"TE",3500,"MIA",5.85714285714286
"67","Raheem Mostert",11.5,"RB",5000,"MIA",2.3
"68","Tyler Conklin",29.5,"TE",3700,"NYJ",7.97297297297297
"69","Tyreek Hill",70.5,"WR",8000,"MIA",8.8125
"70","Antonio Gibson",10.5,"RB",5900,"WAS",1.77966101694915
"71","Austin Hooper",14.5,"TE",2800,"TEN",5.17857142857143
"72","Curtis Samuel",44.5,"WR",5800,"WAS",7.67241379310345
"73","Derrick Henry",11.5,"RB",8200,"TEN",1.40243902439024
"74","Dyami Brown",15.5,"WR",3000,"WAS",5.16666666666667
"75","Geoff Swaim",9.5,"TE",2900,"TEN",3.27586206896552
"76","Nick Westbrook-Ikhine",32.5,"WR",4200,"TEN",7.73809523809524
"77","Robert Woods",52.5,"WR",5200,"TEN",10.0961538461538
"78","Terry McLaurin",58.5,"WR",6200,"WAS",9.43548387096774
"79","Brandin Cooks",67.5,"WR",6100,"HOU",11.0655737704918
"80","Christian Kirk",66.5,"WR",6600,"JAX",10.0757575757576
"81","Dameon Pierce",13.5,"RB",6200,"HOU",2.17741935483871
"82","Evan Engram",27.5,"TE",3100,"JAX",8.87096774193548
"83","James Robinson",8.5,"RB",6300,"JAX",1.34920634920635
"84","Marvin Jones Jr.",37.5,"WR",4200,"JAX",8.92857142857143
"85","Nico Collins",40.5,"WR",4100,"HOU",9.87804878048781
"86","O.J. Howard Receiving Yards",26.5,"TE",2600,"HOU",10.1923076923077
"87","Rex Burkhead",20.5,"RB",5000,"HOU",4.1
"88","Travis Etienne",13.5,"RB",5100,"JAX",2.64705882352941
"89","Zay Jones",45.5,"WR",4100,"JAX",11.0975609756098
"90","Adam Trautman",9.5,"TE",2700,"NO",3.51851851851852
"91","Alvin Kamara",26.5,"RB",6600,"NO",4.01515151515152
"92","Chris Olave",63.5,"WR",5700,"NO",11.140350877193
"93","DK Metcalf",63.5,"WR",6800,"SEA",9.33823529411765
"94","Jarvis Landry",41.5,"WR",4300,"NO",9.65116279069768
"95","Juwan Johnson",25.5,"TE",3000,"NO",8.5
"96","Marquez Callaway",27.5,"WR",3300,"NO",8.33333333333333
"97","Rashaad Penny",3.5,"RB",5300,"SEA",0.660377358490566
"98","Tyler Lockett",65.5,"WR",5600,"SEA",11.6964285714286
"99","Will Dissly",19.5,"TE",3300,"SEA",5.90909090909091
"100","Brandon Aiyuk",45.5,"WR",5400,"SF",8.42592592592593
"101","Christian McCaffrey",36.5,"RB",8500,"CAR",4.29411764705882
"102","Deebo Samuel",55.5,"WR",7700,"SF",7.20779220779221
"103","DJ Moore",49.5,"WR",5200,"CAR",9.51923076923077
"104","George Kittle",37.5,"TE",5200,"SF",7.21153846153846
"105","Jauan Jennings",16.5,"WR",3300,"SF",5
"106","Jeff Wilson Jr.",8.5,"RB",5500,"SF",1.54545454545455
"107","Robby Anderson",35.5,"WR",4300,"CAR",8.25581395348837
"108","Shi Smith",19.5,"WR",3000,"CAR",6.5
"109","A.J. Brown",74.5,"WR",7500,"PHI",9.93333333333333
"110","Dallas Goedert",43.5,"TE",4700,"PHI",9.25531914893617
"111","DeVonta Smith",52.5,"WR",6000,"PHI",8.75
"112","James Conner",21.5,"RB",6300,"ARI",3.41269841269841
"113","Marquise Brown",60.5,"WR",7200,"ARI",8.40277777777778
"114","Miles Sanders",10.5,"RB",6500,"PHI",1.61538461538462
"115","Zach Ertz",49.5,"TE",4800,"ARI",10.3125
"116","Allen Robinson II",37.5,"WR",5300,"LAR",7.07547169811321
"117","Ben Skowronek",28.5,"WR",4000,"LAR",7.125
"118","Cam Akers",6.5,"RB",5600,"LAR",1.16071428571429
"119","CeeDee Lamb",65.5,"WR",7000,"DAL",9.35714285714286
"120","Cooper Kupp",94.5,"WR",9600,"LAR",9.84375
"121","Dalton Schultz",32.5,"TE",3400,"DAL",9.55882352941176
"122","Darrell Henderson Jr.",10.5,"RB",5500,"LAR",1.90909090909091
"123","Ezekiel Elliott",11.5,"RB",5800,"DAL",1.98275862068966
"124","Michael Gallup",38.5,"WR",5000,"DAL",7.7
"125","Noah Brown",34.5,"WR",4900,"DAL",7.04081632653061
"126","Tony Pollard",13.5,"RB",5700,"DAL",2.36842105263158
"127","Tyler Higbee",50.5,"TE",4300,"LAR",11.7441860465116
