"","player","ou","position","Salary","Team","value"
"1","Andy Dalton",222.5,NA,NA,NA,NA
"2","Kirk Cousins",246.5,NA,NA,NA,NA
"3","Jalen Hurts",238.5,"QB",8600,"PHI",27.7325581395349
"4","Trevor Lawrence",215.5,"QB",7500,"JAC",28.7333333333333
"5","Josh Allen",287.5,"QB",8900,"BUF",32.3033707865169
"6","Lamar Jackson (BAL)",231.5,"QB",8800,"BAL",26.3068181818182
"7","Daniel Jones",194.5,"QB",7000,"NYG",27.7857142857143
"8","Justin Fields",145.5,"QB",6700,"CHI",21.7164179104478
"9","Matt Ryan",238.5,"QB",6700,"IND",35.5970149253731
"10","Ryan Tannehill",222.5,"QB",6800,"TEN",32.7205882352941
"11","Cooper Rush",229.5,"QB",6400,"DAL",35.859375
"12","Davis Mills",234.5,"QB",6400,"HOU",36.640625
"13","Justin Herbert",271.5,"QB",8000,"LAC",33.9375
"14","Geno Smith",250.5,"QB",6600,"SEA",37.9545454545455
"15","Mitchell Trubisky",213.5,"QB",6500,"PIT",32.8461538461538
"16","Zach Wilson",206.5,"QB",6500,"NYJ",31.7692307692308
"17","Jacoby Brissett",209.5,"QB",6800,"CLE",30.8088235294118
"18","Marcus Mariota",217.5,"QB",7300,"ATL",29.7945205479452
"19","Baker Mayfield",201.5,"QB",6600,"CAR",30.530303030303
"20","Kyler Murray",235.5,"QB",7800,"ARI",30.1923076923077
"21","Aaron Rodgers",227.5,"QB",7400,"GB",30.7432432432432
"22","Brian Hoyer",189.5,"QB",6300,"NE",30.0793650793651
"23","Derek Carr",266.5,"QB",7200,"LV",37.0138888888889
"24","Russell Wilson",241.5,"QB",7100,"DEN",34.0140845070423
"25","Patrick Mahomes",262.5,NA,NA,NA,NA
"26","Tom Brady",270.5,NA,NA,NA,NA
"27","Jimmy Garoppolo",224.5,NA,NA,NA,NA
"28","Matthew Stafford",250.5,NA,NA,NA,NA
