"","player","ou","position","Salary","Team","value"
"6","Devin Singletary",69,"RB",6000,"BUF",11.5
"7","Josh Allen",39.5,"QB",9000,"BUF",4.38888888888889
"8","Kenny Pickett",17.5,"QB",6500,"PIT",2.69230769230769
"9","Najee Harris",68,"RB",6600,"PIT",10.3030303030303
"10","Caleb Huntley",25.5,"RB",5600,"ATL",4.55357142857143
"11","Leonard Fournette",91,"RB",7800,"TB",11.6666666666667
"12","Marcus Mariota",27.5,"QB",6800,"ATL",4.04411764705882
"13","Rachaad White",33,"RB",5800,"TB",5.68965517241379
"14","Tom Brady",0.5,"QB",7800,"TB",0.0641025641025641
"15","Tyler Allgeier",54,"RB",5700,"ATL",9.47368421052632
"16","Alexander Mattison",22.5,"RB",7300,"MIN",3.08219178082192
"17","Dalvin Cook",92,"RB",7300,"MIN",12.6027397260274
"18","Justin Fields",39.5,"QB",6600,"CHI",5.98484848484849
"19","Kirk Cousins",1.5,"QB",7100,"MIN",0.211267605633803
"20","Austin Ekeler",91,"RB",9000,"LAC",10.1111111111111
"21","Jacoby Brissett",13.5,"QB",6700,"CLE",2.01492537313433
"22","Nick Chubb",98,"RB",9400,"CLE",10.4255319148936
"23","Damien Harris",71,"RB",7200,"NE",9.86111111111111
"24","Jamaal Williams",74,"RB",8300,"DET",8.91566265060241
"25","Jared Goff",3.5,"QB",8000,"DET",0.4375
"26","Rhamondre Stevenson",71,"RB",6000,"NE",11.8333333333333
"27","Breece Hall",67,"RB",6600,"NYJ",10.1515151515152
"28","Chase Edmonds",41,"RB",5700,"MIA",7.19298245614035
"29","Michael Carter",43,"RB",5500,"NYJ",7.81818181818182
"30","Raheem Mostert",69,"RB",5800,"MIA",11.8965517241379
"31","Teddy Bridgewater",6.5,"QB",6400,"MIA",1.015625
"32","Zach Wilson",8.5,"QB",7200,"NYJ",1.18055555555556
"33","Antonio Gibson",48,"RB",6300,"WAS",7.61904761904762
"34","Carson Wentz",11.5,"QB",6800,"WAS",1.69117647058824
"35","Derrick Henry",93,"RB",8900,"TEN",10.4494382022472
"36","Ryan Tannehill",12.5,"QB",6900,"TEN",1.81159420289855
"37","Dameon Pierce",80,"RB",7500,"HOU",10.6666666666667
"38","Davis Mills",1.5,"QB",6400,"HOU",0.234375
"39","James Robinson",70,"RB",8000,"JAC",8.75
"40","Travis Etienne",48,"RB",5600,"JAC",8.57142857142857
"41","Trevor Lawrence",10.5,"QB",7600,"JAC",1.38157894736842
"42","Alvin Kamara",85,"RB",7000,"NO",12.1428571428571
"43","Andy Dalton",3.5,"QB",6500,"NO",0.538461538461538
"44","Geno Smith",7.5,"QB",6900,"SEA",1.08695652173913
"45","Mark Ingram",27.5,"RB",6000,"NO",4.58333333333333
"46","Rashaad Penny",64,"RB",6900,"SEA",9.27536231884058
"47","Baker Mayfield",7.5,"QB",6400,"CAR",1.171875
"48","Christian McCaffrey",89,"RB",8700,"CAR",10.2298850574713
"49","Deebo Samuel",78,"WR",7300,"SF",10.6849315068493
"50","Jeff Wilson Jr.",77,"RB",6500,"SF",11.8461538461538
"51","Jimmy Garoppolo",1.5,"QB",7000,"SF",0.214285714285714
"52","Jalen Hurts",45.5,"QB",8600,"PHI",5.29069767441861
"53","James Conner",67,"RB",6700,"ARI",10
"54","Kyler Murray",23.5,"QB",8100,"ARI",2.90123456790123
"55","Miles Sanders",74,"RB",7600,"PHI",9.73684210526316
"56","Cam Akers",51,"RB",6100,"LAR",8.36065573770492
"57","Cooper Rush",5.5,"QB",6500,"DAL",0.846153846153846
"58","Darrell Henderson Jr.",41,"RB",6100,"LAR",6.72131147540984
"59","Ezekiel Elliott",63,"RB",6200,"DAL",10.1612903225806
"60","Matthew Stafford",3.5,"QB",7400,"LAR",0.472972972972973
"61","Tony Pollard",41,"RB",5700,"DAL",7.19298245614035
