"","player","ou","position","Salary","Team","value"
"13","Chase Claypool",32.5,"WR",5600,"PIT",5.80357142857143
"14","Devin Singletary",17.5,"RB",6000,"BUF",2.91666666666667
"15","Diontae Johnson",50.5,"WR",6700,"PIT",7.53731343283582
"16","Gabriel Davis",50.5,"WR",6000,"BUF",8.41666666666667
"17","George Pickens",40.5,"WR",5500,"PIT",7.36363636363636
"18","Isaiah McKenzie",32.5,"WR",6100,"BUF",5.32786885245902
"19","Najee Harris",14.5,"RB",6600,"PIT",2.1969696969697
"20","Pat Freiermuth",38.5,"TE",5800,"PIT",6.63793103448276
"21","Quintin Morris",19.5,"TE",4200,"BUF",4.64285714285714
"22","Stefon Diggs",79.5,"WR",8600,"BUF",9.24418604651163
"23","Anthony Firkser",18.5,"TE",4300,"ATL",4.30232558139535
"24","Cade Otton",22.5,"TE",4100,"TB",5.48780487804878
"25","Chris Godwin",60.5,"WR",7000,"TB",8.64285714285714
"26","Drake London",59.5,"WR",6200,"ATL",9.59677419354839
"27","Leonard Fournette",24.5,"RB",7800,"TB",3.14102564102564
"28","Mike Evans",62.5,"WR",7500,"TB",8.33333333333333
"29","Olamide Zaccheaus",28.5,"WR",5300,"ATL",5.37735849056604
"30","Parker Hesse",12.5,"TE",4400,"ATL",2.84090909090909
"31","Rachaad White",12.5,"RB",5800,"TB",2.1551724137931
"32","Tyler Allgeier",10.5,"RB",5700,"ATL",1.84210526315789
"33","Adam Thielen",53.5,"WR",6300,"MIN",8.49206349206349
"34","Dalvin Cook",13.5,"RB",7300,"MIN",1.84931506849315
"35","Dante Pettis",11.5,"WR",4900,"CHI",2.3469387755102
"36","Darnell Mooney",49.5,"WR",5800,"CHI",8.53448275862069
"37","Equanimeous St. Brown",22.5,"WR",5200,"CHI",4.32692307692308
"38","Irv Smith Jr.",25.5,"TE",4700,"MIN",5.42553191489362
"39","Johnny Mundt",9.5,"TE",4300,"MIN",2.2093023255814
"40","Justin Jefferson",83.5,"WR",8800,"MIN",9.48863636363636
"41","K.J. Osborn",24.5,"WR",5200,"MIN",4.71153846153846
"42","Amari Cooper",51.5,"WR",7000,"CLE",7.35714285714286
"43","Austin Ekeler",38.5,"RB",9000,"LAC",4.27777777777778
"44","David Bell",9.5,"WR",4800,"CLE",1.97916666666667
"45","David Njoku",37.5,"TE",5700,"CLE",6.57894736842105
"46","Donovan Peoples-Jones",33.5,"WR",5400,"CLE",6.2037037037037
"47","Gerald Everett",40.5,"TE",6300,"LAC",6.42857142857143
"48","Harrison Bryant",15.5,"TE",4600,"CLE",3.3695652173913
"49","Kareem Hunt",15.5,"RB",5900,"CLE",2.6271186440678
"50","Mike Williams",66.5,"WR",7400,"LAC",8.98648648648649
"51","Nick Chubb",7.5,"RB",9400,"CLE",0.797872340425532
"52","Damien Harris",9.5,"RB",7200,"NE",1.31944444444444
"53","DeVante Parker",36.5,"WR",5700,"NE",6.40350877192982
"54","Hunter Henry",23.5,"TE",4500,"NE",5.22222222222222
"55","Jakobi Meyers",43.5,"WR",6000,"NE",7.25
"56","Jamaal Williams",10.5,"RB",8300,"DET",1.26506024096386
"57","Nelson Agholor",29.5,"WR",5500,"NE",5.36363636363636
"58","Rhamondre Stevenson",16.5,"RB",6000,"NE",2.75
"59","Breece Hall",16.5,"RB",6600,"NYJ",2.5
"60","Chase Edmonds",13.5,"RB",5700,"MIA",2.36842105263158
"61","Corey Davis",38.5,"WR",5900,"NYJ",6.52542372881356
"62","Durham Smythe",11.5,"TE",4300,"MIA",2.67441860465116
"63","Elijah Moore",42.5,"WR",5300,"NYJ",8.0188679245283
"64","Garrett Wilson",43.5,"WR",6000,"NYJ",7.25
"65","Michael Carter",11.5,"RB",5500,"NYJ",2.09090909090909
"66","Mike Gesicki",20.5,"TE",5000,"MIA",4.1
"67","Raheem Mostert",11.5,"RB",5800,"MIA",1.98275862068966
"68","Tyler Conklin",29.5,"TE",5300,"NYJ",5.56603773584906
"69","Tyreek Hill",70.5,"WR",8400,"MIA",8.39285714285714
"70","Antonio Gibson",10.5,"RB",6300,"WAS",1.66666666666667
"71","Austin Hooper",14.5,"TE",4500,"TEN",3.22222222222222
"72","Curtis Samuel",44.5,"WR",5800,"WAS",7.67241379310345
"73","Derrick Henry",11.5,"RB",8900,"TEN",1.29213483146067
"74","Dyami Brown",15.5,"WR",4600,"WAS",3.3695652173913
"75","Geoff Swaim",9.5,"TE",4400,"TEN",2.15909090909091
"76","Nick Westbrook-Ikhine",32.5,"WR",5400,"TEN",6.01851851851852
"77","Robert Woods",52.5,"WR",5900,"TEN",8.89830508474576
"78","Terry McLaurin",58.5,"WR",6500,"WAS",9
"79","Brandin Cooks",67.5,"WR",6800,"HOU",9.92647058823529
"80","Christian Kirk",66.5,"WR",7600,"JAC",8.75
"81","Dameon Pierce",13.5,"RB",7500,"HOU",1.8
"82","Evan Engram",27.5,"TE",4900,"JAC",5.61224489795918
"83","James Robinson",8.5,"RB",8000,"JAC",1.0625
"84","Marvin Jones Jr.",37.5,"WR",5200,"JAC",7.21153846153846
"85","Nico Collins",40.5,"WR",5400,"HOU",7.5
"86","O.J. Howard Receiving Yards",26.5,"TE",4500,"HOU",5.88888888888889
"87","Rex Burkhead",20.5,"RB",5100,"HOU",4.01960784313725
"88","Travis Etienne",13.5,"RB",5600,"JAC",2.41071428571429
"89","Zay Jones",45.5,"WR",5700,"JAC",7.98245614035088
"90","Adam Trautman",9.5,"TE",4500,"NO",2.11111111111111
"91","Alvin Kamara",26.5,"RB",7000,"NO",3.78571428571429
"92","Chris Olave",63.5,"WR",6900,"NO",9.20289855072464
"93","DK Metcalf",63.5,"WR",7100,"SEA",8.94366197183099
"94","Jarvis Landry",41.5,"WR",5500,"NO",7.54545454545455
"95","Juwan Johnson",25.5,"TE",4700,"NO",5.42553191489362
"96","Marquez Callaway",27.5,"WR",5100,"NO",5.3921568627451
"97","Rashaad Penny",3.5,"RB",6900,"SEA",0.507246376811594
"98","Tyler Lockett",65.5,"WR",6800,"SEA",9.63235294117647
"99","Will Dissly",19.5,"TE",5100,"SEA",3.82352941176471
"100","Brandon Aiyuk",45.5,"WR",5900,"SF",7.71186440677966
"101","Christian McCaffrey",36.5,"RB",8700,"CAR",4.19540229885058
"102","Deebo Samuel",55.5,"WR",7300,"SF",7.6027397260274
"103","DJ Moore",49.5,"WR",5900,"CAR",8.38983050847458
"104","George Kittle",37.5,"TE",6500,"SF",5.76923076923077
"105","Jauan Jennings",16.5,"WR",5500,"SF",3
"106","Jeff Wilson Jr.",8.5,"RB",6500,"SF",1.30769230769231
"107","Robby Anderson",35.5,"WR",5500,"CAR",6.45454545454545
"108","Shi Smith",19.5,"WR",4800,"CAR",4.0625
"109","A.J. Brown",74.5,"WR",8000,"PHI",9.3125
"110","Dallas Goedert",43.5,"TE",6100,"PHI",7.13114754098361
"111","DeVonta Smith",52.5,"WR",6600,"PHI",7.95454545454546
"112","James Conner",21.5,"RB",6700,"ARI",3.2089552238806
"113","Marquise Brown",60.5,"WR",7800,"ARI",7.75641025641026
"114","Miles Sanders",10.5,"RB",7600,"PHI",1.38157894736842
"115","Zach Ertz",49.5,"TE",5900,"ARI",8.38983050847458
"116","Allen Robinson II",37.5,"WR",5700,"LAR",6.57894736842105
"117","Ben Skowronek",28.5,"WR",5300,"LAR",5.37735849056604
"118","Cam Akers",6.5,"RB",6100,"LAR",1.0655737704918
"119","CeeDee Lamb",65.5,"WR",7200,"DAL",9.09722222222222
"120","Cooper Kupp",94.5,"WR",9500,"LAR",9.94736842105263
"121","Dalton Schultz",32.5,"TE",4800,"DAL",6.77083333333333
"122","Darrell Henderson Jr.",10.5,"RB",6100,"LAR",1.72131147540984
"123","Ezekiel Elliott",11.5,"RB",6200,"DAL",1.85483870967742
"124","Michael Gallup",38.5,"WR",6000,"DAL",6.41666666666667
"125","Noah Brown",34.5,"WR",5400,"DAL",6.38888888888889
"126","Tony Pollard",13.5,"RB",5700,"DAL",2.36842105263158
"127","Tyler Higbee",50.5,"TE",5500,"LAR",9.18181818181818
