"","player_name","team_name","dk_pos","salary","dk_own","slate_size","week"
"1","Jerreth Sterns","HOUB","WR","$4,100","34%","6","Week 1, 2020"
"2","Brady White","MEM","QB","$7,200","0%","6","Week 1, 2020"
"3","Bailey Zappe","HOUB","QB","$5,000","20%","6","Week 1, 2020"
"4","Damonte Coxie","MEM","WR","$7,700","0%","6","Week 1, 2020"
"5","Shane Buechele","SMU","QB","$9,000","47%","6","Week 1, 2020"
"6","Asher O'Hara","MTSU","QB","$6,200","42%","6","Week 1, 2020"
"7","Dreshawn Minnieweather","HOUB","RB","$5,500","16%","6","Week 1, 2020"
"8","Ben Ratzlaff","HOUB","WR","$4,900","33%","6","Week 1, 2020"
"9","Marcell Barbee","TXST","WR","$3,000","1%","6","Week 1, 2020"
"10","Xavier Gipson","SFA","WR","$6,100","0%","6","Week 1, 2020"
"11","Sandon McCoy","ARMY","RB","$4,800","20%","6","Week 1, 2020"
"12","Jaelon Darden","UNT","WR","$7,300","21%","6","Week 1, 2020"
"13","Tahj Washington","MEM","WR","$3,700","0%","6","Week 1, 2020"
"14","Logan Bonner","ARST","QB","$6,100","0%","6","Week 1, 2020"
"15","Ean Beek","HOUB","RB","$4,600","0%","6","Week 1, 2020"
"16","Jeremiah Haydel","TXST","WR","$4,500","2%","6","Week 1, 2020"
"17","Trae Self","SFA","QB","$5,900","0%","6","Week 1, 2020"
"18","Brenden Knox","MRSHL","RB","$8,000","51%","6","Week 1, 2020"
"19","Rashee Rice","SMU","WR","$4,800","9%","6","Week 1, 2020"
"20","Jimmy Marshall","MTSU","WR","$4,200","12%","6","Week 1, 2020"
"21","Kaymen Cureton","EKU","QB","$4,500","0%","6","Week 1, 2020"
"22","Kylen Granson","SMU","WR","$6,000","19%","6","Week 1, 2020"
"23","Deonte Simpson","UNT","WR","$4,800","1%","6","Week 1, 2020"
"24","Brady McBride","TXST","QB","$5,600","6%","6","Week 1, 2020"
"25","Kylan Watkins","MEM","RB","$6,300","0%","6","Week 1, 2020"
"26","Reggie Roberson Jr.","SMU","WR","$8,200","42%","6","Week 1, 2020"
"27","Jason Pirtle","UNT","WR","$4,000","2%","6","Week 1, 2020"
"28","Camden Harrison","ARMY","WR","$3,900","2%","6","Week 1, 2020"
"29","Grant Wells","MRSHL","QB","$7,300","4%","6","Week 1, 2020"
"30","TJ McDaniel","SMU","RB","$7,000","26%","6","Week 1, 2020"
"31","Da'Leon Ward","SFA","RB","$5,900","0%","6","Week 1, 2020"
"32","Alonzo Booth","EKU","RB","$5,100","6%","6","Week 1, 2020"
"33","Josh McGowen","SFA","RB","$4,000","0%","6","Week 1, 2020"
"34","Jonathan Adams Jr.","ARST","WR","$6,200","0%","6","Week 1, 2020"
"35","Calvin Wiggins","SMU","WR","$5,300","1%","6","Week 1, 2020"
"36","Brandon Bowling","ARST","WR","$3,700","0%","6","Week 1, 2020"
"37","Layne Hatcher","ARST","QB","$6,300","0%","6","Week 1, 2020"
"38","Caleb Twyford","TXST","WR","$4,600","2%","6","Week 1, 2020"
"39","Jyaire Shorter","UNT","WR","$6,400","5%","6","Week 1, 2020"
"40","CJ Windham","MTSU","WR","$5,900","4%","6","Week 1, 2020"
"41","Jacob Cowing","UTEP","WR","$5,100","0%","6","Week 1, 2020"
"42","Jarrin Pierce","MTSU","WR","$4,700","5%","6","Week 1, 2020"
"43","Keyion Dixon","EKU","WR","$4,700","1%","6","Week 1, 2020"
"44","Jackson Beerman","EKU","WR","$3,400","0%","6","Week 1, 2020"
"45","Christian Anderson","ARMY","QB","$7,400","10%","6","Week 1, 2020"
"46","Chaton Mobley","MTSU","RB","$5,700","2%","6","Week 1, 2020"
"47","Justin Garrett","UTEP","WR","$5,500","0%","6","Week 1, 2020"
"48","Calvin Austin III","MEM","WR","$5,000","0%","6","Week 1, 2020"
"49","Austin Aune","UNT","QB","$7,900","0%","6","Week 1, 2020"
"50","Gavin Hardison","UTEP","QB","$7,700","0%","6","Week 1, 2020"
"51","Jamal Jones","ARST","RB","$3,900","0%","6","Week 1, 2020"
"52","DJ Dormeus","HOUB","WR","$3,200","0%","6","Week 1, 2020"
"53","Tre Siggers","UNT","RB","$7,500","15%","6","Week 1, 2020"
"54","Walter Dawn Jr.","UTEP","WR","$4,200","0%","6","Week 1, 2020"
"55","DeAndre Torrey","UNT","RB","$8,300","0%","6","Week 1, 2020"
"56","Quardraiz Wadley","UTEP","RB","$6,500","0%","6","Week 1, 2020"
"57","Brock Sturges","TXST","RB","$5,200","2%","6","Week 1, 2020"
"58","Artice Hobbs IV","ARMY","RB","$4,400","1%","6","Week 1, 2020"
"59","Willie Johnson","MRSHL","WR","$6,900","3%","6","Week 1, 2020"
"60","Rodrigues Clark","MEM","RB","$5,200","0%","6","Week 1, 2020"
"61","Allen Arclies III","SFA","WR","$3,600","0%","6","Week 1, 2020"
"62","Ulysses Bentley IV","SMU","RB","$5,300","1%","6","Week 1, 2020"
"63","Micah Hilts","TXST","WR","$3,800","0%","6","Week 1, 2020"
"64","Jacquez Jones","EKU","WR","$3,000","0%","6","Week 1, 2020"
"65","Xavier Gaines","MRSHL","WR","$5,200","3%","6","Week 1, 2020"
"66","Ryan Graham","ARST","RB","$4,500","0%","6","Week 1, 2020"
"67","Michael Roberts","ARMY","WR","$3,700","0%","6","Week 1, 2020"
"68","Remi Simmons","SFA","WR","$3,000","0%","6","Week 1, 2020"
"69","Sean Dykes","MEM","WR","$4,200","0%","6","Week 1, 2020"
"70","Jaylon Johnson","HOUB","WR","$3,500","0%","6","Week 1, 2020"
"71","Drue Jackson","TXST","WR","$3,000","4%","6","Week 1, 2020"
"72","Frank Peasant","MTSU","RB","$3,000","0%","6","Week 1, 2020"
"73","Broc Thompson","MRSHL","WR","$5,700","2%","6","Week 1, 2020"
"74","Ethan Bradds","EKU","WR","$3,000","0%","6","Week 1, 2020"
"75","Sheldon Evans","MRSHL","RB","$4,200","4%","6","Week 1, 2020"
"76","Reed Tyler","ARST","WR","$3,200","0%","6","Week 1, 2020"
"77","Joshua Fields","UTEP","RB","$3,900","0%","6","Week 1, 2020"
"78","Yusuf Ali","MTSU","WR","$3,500","0%","6","Week 1, 2020"
"79","Trent Thompson","UTEP","WR","$3,000","0%","6","Week 1, 2020"
"80","Talik Keaton","MRSHL","WR","$5,000","1%","6","Week 1, 2020"
"81","Greg White","UNT","WR","$4,200","1%","6","Week 1, 2020"
"82","Blake Aragon","TXST","WR","$3,200","0%","6","Week 1, 2020"
"83","Javen Banks","TXST","WR","$5,400","9%","6","Week 1, 2020"
"84","DJ England-Chisolm","MTSU","WR","$5,100","0%","6","Week 1, 2020"
"85","Tyler Page","SMU","WR","$4,300","0%","6","Week 1, 2020"
"86","Isaiah Alston","ARMY","WR","$3,000","0%","6","Week 1, 2020"
"87","Jayy McDonald","MTSU","RB","$4,300","1%","6","Week 1, 2020"
"88","Bubba Ogbebor","ARST","WR","$4,400","0%","6","Week 1, 2020"
"89","Kameron Wilson","MEM","WR","$3,500","0%","6","Week 1, 2020"
"90","Devin Miller","MRSHL","WR","$3,500","0%","6","Week 1, 2020"
"91","Waydale Jones","TXST","WR","$3,200","0%","6","Week 1, 2020"
"92","QuenTyvian Borders","SFA","WR","$3,000","0%","6","Week 1, 2020"
"93","Nic Smith","UNT","RB","$4,700","0%","6","Week 1, 2020"
"94","Devaughn Cooper","UTEP","WR","$6,600","0%","6","Week 1, 2020"
"95","Ben Redding","SMU","WR","$3,300","0%","6","Week 1, 2020"
"96","Asher Alberding","UNT","WR","$3,000","0%","6","Week 1, 2020"
"97","Tommy McIntyre","SMU","WR","$3,700","0%","6","Week 1, 2020"
"98","Giles Amos","ARST","WR","$3,000","0%","6","Week 1, 2020"
"99","Zach Fryar","UTEP","WR","$3,000","0%","6","Week 1, 2020"
"100","Brock Purdy","ISU","QB","$7,300","40%","7","Week 2, 2020"
"101","Sam Howell","UNC","QB","$8,900","45%","7","Week 2, 2020"
"102","Skylar Thompson","KSU","QB","$6,800","19%","7","Week 2, 2020"
"103","Breece Hall","ISU","RB","$7,000","53%","7","Week 2, 2020"
"104","Ian Book","ND","QB","$8,700","16%","7","Week 2, 2020"
"105","Dazz Newsome","UNC","WR","$7,900","37%","7","Week 2, 2020"
"106","Dyami Brown","UNC","WR","$6,900","43%","7","Week 2, 2020"
"107","Beau Corrales","UNC","WR","$5,000","14%","7","Week 2, 2020"
